Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department for Transport,Department for Transport,28/03/2024,Grt Aid to NDPBs,DG Roads and Local Group,National Highways Limited,2000036045,Grant in Aid NH for April 2024," £465,000,000.00 ",B1 1RN
Department for Transport,Department for Transport,05/03/2024,Grt Aid to NDPBs,DG Rail Strategy and Services Group,Network Rail,2000032832,SR 9001133899 - Network rail," £260,680,000.00 ",SE1 8SW
Department for Transport,High Speed Two (HS2) Limited,06/03/2024,AUC - Phase 1,AUC - 000000,BALFOUR BEATTY VINCI JV - HS2 (N2),#,MWCC Stage One TP," £201,563,994.02 ",#
Department for Transport,High Speed Two (HS2) Limited,05/03/2024,AUC - Phase 1,AUC - 000000,EIFFAGE KIER FERROVIAL BAM JOINT VENTURE,#,C23 MWCC Stage 2 - EKFB IPT," £165,388,443.60 ",#
Department for Transport,Department for Transport,05/03/2024,Cap Grt NDPBs & CG,DG Rail Strategy and Services Group,Network Rail,2000032832,SR 9001133899 - Network rail," £160,400,000.00 ",SE1 8SW
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000035829,P2501 Wk4 2025.P1 GTR_NRC_PCPOpex_(ICP) - PAYMENT," £136,985,509.21 ",EC3R 8AJ
Department for Transport,High Speed Two (HS2) Limited,05/03/2024,AUC - Phase 1,AUC - 000000,SKANSKA COSTAIN STRABAG S1 JOINT,#,MWCC S12 - Stage 2 GBP Purchase Order," £129,600,526.79 ",#
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,GREAT WESTERN RAILWAY,2000035799,P2501 Wk4 2025.P1 GWR_NRC_ICP_OPEX_P2501 - FIRST G," £113,462,354.98 ",SN1 1HL
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,NORTHERN TRAINS LIMITED,2000035867,P2501 Wk4 2025.P1 NTL P2501 CBrp Cost Budget Payme," £85,441,000.00 ",M1 2NF
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,FIRST MTR SOUTH WESTERN TRAINS LTD,2000035844,P2501 Wk4 2025.P1 SWR_NRC_PCPCost (Payment on acco," £83,251,002.54 ",W2 6LG
